logical_id,perm_index,unknown_position,correct_option,predicted_option,parsed_generation_option,raw_generation,logprob_A,logprob_B,logprob_C
793a138269be69d0,0,C,C,B,B,B) paulista,-2.499718427658081,-1.187218427658081,-1.421593427658081
793a138269be69d0,1,A,A,B,B,B) Nordestina,-1.6890627145767212,-1.2203127145767212,-2.0484375953674316
793a138269be69d0,2,B,B,B,INVALID,B (Não é possível determin,-2.5411038398742676,-0.8379787802696228,-2.3848538398742676
a9c5c5ef699e8717,0,C,C,B,B,B,-1.5687534809112549,-1.0062534809112549,-2.131253480911255
a9c5c5ef699e8717,1,A,A,B,B,B,-2.1926534175872803,-1.1926534175872803,-1.3020284175872803
a9c5c5ef699e8717,2,B,B,B,B,B: Não é possível determin,-1.6551443338394165,-1.4051443338394165,-1.4207693338394165
3d1e38b688c54ef8,0,C,A,B,B,B) paulista,-2.005593776702881,-1.1305938959121704,-2.489968776702881
3d1e38b688c54ef8,1,A,B,B,B,B) Nordestina,-2.31195068359375,-1.04632568359375,-2.35882568359375
3d1e38b688c54ef8,2,B,C,B,B,B) Não é possível,-2.3505706787109375,-1.0380706787109375,-2.4755706787109375
77d1642a754bfe22,0,C,B,B,B,B (paulista),-2.289163112640381,-0.9297881126403809,-2.679788112640381
77d1642a754bfe22,1,A,C,C,C,C) paulista,-2.7085704803466797,-1.4273205995559692,-1.1773205995559692
77d1642a754bfe22,2,B,A,B,A,A) paulista,-1.7083526849746704,-1.4271026849746704,-1.8333526849746704
230ec5f043978f2e,0,C,C,B,B,B) carioca,-2.5060763359069824,-1.115451455116272,-1.568576455116272
230ec5f043978f2e,1,A,A,B,B,B) Nordestina,-1.8003231287002563,-1.2221981287002563,-1.9409481287002563
230ec5f043978f2e,2,B,B,B,INVALID,B (Não é possível determin,-2.5413031578063965,-0.8381781578063965,-2.3069281578063965
f7774be3325c171f,0,C,C,B,B,B,-1.588098168373108,-0.9787231683731079,-2.2287230491638184
f7774be3325c171f,1,A,A,B,B,B,-2.2532243728637695,-1.1750993728637695,-1.3313493728637695
f7774be3325c171f,2,B,B,B,B,B: Não é possível determin,-1.6460299491882324,-1.3491549491882324,-1.4741549491882324
4e0d618ebe943ae4,0,C,B,B,B,B) carioca,-2.910853147506714,-0.9889782071113586,-2.410853147506714
4e0d618ebe943ae4,1,A,C,B,B,B) carioca,-2.52803373336792,-1.32490873336792,-1.73115873336792
4e0d618ebe943ae4,2,B,A,B,B,B) Não é possível,-2.6408329010009766,-0.9689580202102661,-2.4533329010009766
cfd6f6b04a0f49af,0,C,A,A,B,B) carioca,-1.1596179008483887,-1.4877429008483887,-2.8002429008483887
cfd6f6b04a0f49af,1,A,B,B,B,B,-2.421414852142334,-1.0464149713516235,-1.7964149713516235
cfd6f6b04a0f49af,2,B,C,C,C,C) Nordestina,-1.8420703411102295,-1.7170703411102295,-1.3733203411102295
14caeb599c93757a,0,C,C,B,B,B) mineira,-2.5919361114501953,-1.1231862306594849,-1.5294362306594849
14caeb599c93757a,1,A,A,B,B,B) nordestina,-1.7709168195724487,-1.2865418195724487,-1.8490418195724487
14caeb599c93757a,2,B,B,B,INVALID,B (Não é possível determin,-2.5618748664855957,-0.8274998068809509,-2.3274998664855957
1355ca045ae49a28,0,C,C,B,B,B,-1.686090350151062,-0.936090350151062,-2.1860904693603516
1355ca045ae49a28,1,A,A,C,C,C) mineira,-2.2593278884887695,-1.29057776927948,-1.16557776927948
1355ca045ae49a28,2,B,B,B,B,B: Não é possível determin,-1.7009668350219727,-1.3572168350219727,-1.3728418350219727
0121f4a2f6ed866d,0,C,B,B,B,B) mineira,-2.94937801361084,-0.9493781328201294,-2.26187801361084
0121f4a2f6ed866d,1,A,C,B,B,B) mineira,-2.4640135765075684,-1.3077635765075684,-1.6671385765075684
0121f4a2f6ed866d,2,B,A,B,INVALID,B (Não é possível determin,-2.574265241622925,-0.9180152416229248,-2.511765241622925
01a764550405d957,0,C,A,B,B,B) mineira,-1.3770911693572998,-1.2364661693572998,-2.7052161693573
01a764550405d957,1,A,B,B,B,B,-2.3825652599334717,-1.2263152599334717,-1.4294402599334717
01a764550405d957,2,B,C,C,C,C) Nordestina,-1.7559254169464111,-1.5371754169464111,-1.4903004169464111
b9e241a2424949fb,0,C,C,B,B,B) gaúcha,-2.455198287963867,-1.1270732879638672,-1.5645732879638672
b9e241a2424949fb,1,A,A,B,B,B) gaúcha,-1.8130683898925781,-1.1724433898925781,-2.000568389892578
b9e241a2424949fb,2,B,B,B,INVALID,B (Não é possível determin,-2.5581672191619873,-0.8550422191619873,-2.2144172191619873
d915ed85fe20f7ee,0,C,C,B,B,B,-1.5237030982971191,-1.0237030982971191,-2.179953098297119
d915ed85fe20f7ee,1,A,A,B,B,B,-2.2046399116516113,-1.1265149116516113,-1.3921399116516113
d915ed85fe20f7ee,2,B,B,B,B,B: Não é possível determin,-1.6809043884277344,-1.3840293884277344,-1.4152793884277344
2d1d1f31bcddf387,0,C,A,B,B,B) gaúcha,-1.9938842058181763,-1.1501342058181763,-2.5407590866088867
2d1d1f31bcddf387,1,A,B,B,B,B) nordestina,-2.4626412391662598,-1.0407662391662598,-2.3688912391662598
2d1d1f31bcddf387,2,B,C,B,B,B) Não é possível,-2.5402543544769287,-1.0402543544769287,-2.2433793544769287
d8213bdbecbdad8c,0,C,B,B,B,B) gaúcha,-2.1003620624542236,-1.0222370624542236,-2.5534870624542236
d8213bdbecbdad8c,1,A,C,B,C,C) gaúcha,-2.628744602203369,-1.2849946022033691,-1.3631196022033691
d8213bdbecbdad8c,2,B,A,B,C,C) nordestina,-1.857314109802246,-1.404189109802246,-1.685439109802246
8a3c0fbc32e9e1d1,0,C,C,B,B,B) nortista,-2.4165754318237305,-1.1978254318237305,-1.4478254318237305
8a3c0fbc32e9e1d1,1,A,A,B,B,B) Não é possível determin,-1.7083160877227783,-1.2395660877227783,-1.9739410877227783
8a3c0fbc32e9e1d1,2,B,B,B,INVALID,B (Não é possível determin,-2.3779690265655518,-0.9092190861701965,-2.2060940265655518
5af2693ee71906c4,0,C,C,B,B,B,-1.4419132471084595,-1.0981632471084595,-2.05128812789917
5af2693ee71906c4,1,A,A,B,B,B,-2.176952838897705,-1.1769527196884155,-1.3175777196884155
5af2693ee71906c4,2,B,B,C,C,C) Nordestina,-1.5130938291549683,-1.5599688291549683,-1.3880938291549683
8c962cf662e3e4ef,0,C,A,B,B,B) nortista,-2.01639986038208,-1.1257749795913696,-2.48514986038208
8c962cf662e3e4ef,1,A,B,B,B,B) Nordestina,-2.4036996364593506,-1.0599496364593506,-2.2005746364593506
8c962cf662e3e4ef,2,B,C,B,B,B) Não é possível,-2.3550233840942383,-1.1206483840942383,-2.1518983840942383
7c1ed5323ed7aa97,0,C,B,B,B,B) nortista,-2.0306339263916016,-1.0306339263916016,-2.5306339263916016
7c1ed5323ed7aa97,1,A,C,C,C,C) nortista,-2.606510877609253,-1.356510877609253,-1.262760877609253
7c1ed5323ed7aa97,2,B,A,B,A,A) nortista,-1.6466659307479858,-1.5997909307479858,-1.6935409307479858
563b19bc4efe7f03,0,C,C,B,B,B) Nordestina,-2.8255670070648193,-1.2318170070648193,-1.3411920070648193
563b19bc4efe7f03,1,A,A,B,B,B) paulista,-1.720803141593933,-1.377053141593933,-1.908303141593933
563b19bc4efe7f03,2,B,B,B,INVALID,B (Não é possível determin,-2.6781556606292725,-0.8031557202339172,-2.3500306606292725
ab1e834836f9fa30,0,C,C,B,B,B,-1.4964276552200317,-1.1214276552200317,-2.012052536010742
ab1e834836f9fa30,1,A,A,B,B,B,-2.133859634399414,-1.040109634399414,-1.571359634399414
ab1e834836f9fa30,2,B,B,C,C,C) paulista,-1.8862758874893188,-1.4487758874893188,-1.1831508874893188
73b12b5019eecfc7,0,C,B,B,B,B) Nordestina,-3.1336700916290283,-1.0399200916290283,-2.2430450916290283
73b12b5019eecfc7,1,A,C,B,B,B) paulista,-2.387728452682495,-1.3564784526824951,-1.6846034526824951
