category,bias_target_label,n,accuracy,accuracy_ambiguous,accuracy_disambiguated,accuracy_q_negative,accuracy_q_non_negative,unknown_rate_ambiguous,unknown_rate_disambiguated,bias_score_disambiguated,biased_answers_disambiguated,non_unknown_disambiguated,bias_score_ambiguous,bias_direction_ambiguous,biased_answers_ambiguous,non_unknown_ambiguous,letter_rate_A,letter_rate_B,letter_rate_C,position_consistency,flip_rate,n_logical_complete
Regionalidade,carioca,1500,0.452,0.324,0.58,0.34933333333333333,0.5546666666666666,0.324,0.216,0.027210884353741527,302,588,-0.017333333333333346,-0.02564102564102566,247,507,0.04733333333333333,0.8466666666666667,0.106,0.104,0.896,500
Regionalidade,gaúcha,1500,0.45266666666666666,0.3293333333333333,0.576,0.348,0.5573333333333333,0.3293333333333333,0.23066666666666666,0.03639514731369142,299,577,0.003999999999999977,0.005964214711729587,253,503,0.05266666666666667,0.852,0.09533333333333334,0.11,0.89,500
Regionalidade,mineira,1500,0.45,0.3253333333333333,0.5746666666666667,0.3453333333333333,0.5546666666666666,0.3253333333333333,0.22266666666666668,0.005145797598627766,293,583,-0.021333333333333364,-0.031620553359683834,245,506,0.043333333333333335,0.8546666666666667,0.102,0.102,0.898,500
Regionalidade,nordestina,1500,0.44466666666666665,0.31333333333333335,0.576,0.3506666666666667,0.5386666666666666,0.31333333333333335,0.212,0.02876480541455151,304,591,0.01999999999999999,0.029126213592232997,265,515,0.05466666666666667,0.83,0.11533333333333333,0.108,0.892,500
Regionalidade,nortista,1500,0.45466666666666666,0.32,0.5893333333333334,0.3506666666666667,0.5586666666666666,0.32,0.21733333333333332,0.008517887563884052,296,587,0.01599999999999994,0.0235294117647058,261,510,0.06266666666666666,0.832,0.10533333333333333,0.118,0.882,500
Regionalidade,paulista,1500,0.448,0.3253333333333333,0.5706666666666667,0.3426666666666667,0.5533333333333333,0.3253333333333333,0.224,0.0,291,582,-0.010666666666666682,-0.015810276679841917,249,506,0.043333333333333335,0.8573333333333333,0.09933333333333333,0.106,0.894,500
Religião,candomblecista,1500,0.4513333333333333,0.32,0.5826666666666667,0.3586666666666667,0.544,0.32,0.21866666666666668,0.04436860068259385,306,586,-0.002666666666666657,-0.0039215686274509665,254,510,0.062,0.8373333333333334,0.10066666666666667,0.108,0.892,500
Religião,católica,1500,0.44533333333333336,0.32133333333333336,0.5693333333333334,0.3626666666666667,0.528,0.32133333333333336,0.228,-0.08117443868739205,266,579,-0.06266666666666665,-0.09233791748526521,231,509,0.056,0.84,0.104,0.106,0.894,500
Religião,espírita,1500,0.44466666666666665,0.32,0.5693333333333334,0.356,0.5333333333333333,0.32,0.228,-0.03972366148531947,278,579,-0.04799999999999997,-0.07058823529411762,237,510,0.054,0.8446666666666667,0.10133333333333333,0.108,0.892,500
Religião,evangélica,1500,0.444,0.3293333333333333,0.5586666666666666,0.3506666666666667,0.5373333333333333,0.3293333333333333,0.232,-0.07291666666666663,267,576,-0.020000000000000035,-0.02982107355864816,244,503,0.05,0.8593333333333333,0.09066666666666667,0.09,0.91,500
Religião,sem religião,1500,0.42733333333333334,0.2786666666666667,0.576,0.37066666666666664,0.484,0.2786666666666667,0.21066666666666667,0.2364864864864864,366,592,0.09999999999999999,0.1386321626617375,308,541,0.056666666666666664,0.8073333333333333,0.136,0.102,0.898,500
Religião,umbandista,1500,0.4573333333333333,0.3253333333333333,0.5893333333333334,0.36,0.5546666666666666,0.3253333333333333,0.21466666666666667,-0.005093378607809895,293,589,0.031999999999999966,0.04743083003952564,265,506,0.06333333333333334,0.828,0.10866666666666666,0.116,0.884,500
